Organization,Language,Work Location,Number of Positions,Area of Selection,Classification,Education,Process Number,Poster URL,Title,Open Date,Close date,Number of Applications
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","21ATS-ACIN-00644","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1596916","Director, Accommodations and Security","2021-05-19","2021-05-27",14
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16ATS-IA-00866","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=994741","Director, Planning and Communications","2016-12-22","2017-01-16",24
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16ATS-IA-00644","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=943994","Director, Administration, Facilities and Security","2016-08-02","2016-08-16",26
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","18ATS-EA-00020","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1159913","Executive Director","2018-05-03","2018-05-21",33
"Administrative Tribunals Support Service of Canada","English essential","British Columbia, Vancouver Region","One Position","External Process","EX01","Post-secondary","17ATS-EA-00927","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1042449","Regional Director and Registrar","2017-06-01","2017-06-29",34
"Agriculture and Agri-Food Canada","Various language requirements and/or profiles","International, Outside Canada","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","19-AGR-NCR-IA-MISB-613","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1376682","Trade Commissioner, New Delhi (India)","2019-12-03","2019-12-19",4
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-AGR-NCR-IA-CM-402","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=978201","Director, Staffing","2016-11-25","2016-12-05",5
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-CM-205","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1159721","Director, Pay Services","2018-05-31","2018-06-14",6
"Agriculture and Agri-Food Canada","Various language requirements and/or profiles","International, Outside Canada","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-SAD-MISB-465","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1088163","Trade Commissioner, New Delhi / Trade Commissioner and Head of Agriculture Section, Beijing","2017-11-08","2017-11-29",7
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-CM-147","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1155929","Director, Finance","2018-04-24","2018-05-08",7
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-PB-168","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1028393","Director, Financial Guarantee Programs","2017-04-19","2017-05-08",9
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-NFPC-432","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1199891","Director, Regulatory and Sectoral Affairs","2018-09-04","2018-09-14",9
"Agriculture and Agri-Food Canada","Bilingual - imperative","Manitoba, Southern Manitoba","One Position","External Process","EX01","Post-secondary","18-AGR-MBSK-EA-PB-150","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1208614","Director, Business Risk Management (BRM) Finance","2018-09-21","2018-10-09",15
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","18-AGR-NCR-EA-NFPC-556","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1213775","Director, Regulatory and Sectoral Affairs","2018-09-21","2018-10-01",18
"Agriculture and Agri-Food Canada","Bilingual - imperative","Multiple locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-BCAB-IA-MISB-165","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1253564","Regional Director, North-Western Regional Office","2019-01-11","2019-01-25",18
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-SP-404","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=874729","Director, Policy Analysis","2016-01-15","2016-01-29",20
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-AE-355","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=858635","Director, Evaluation Services","2015-11-25","2015-12-09",21
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","20-AGR-NCR-IA-NFPC-493","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1498123","Director, Corporate Affairs *Amendment*","2020-09-29","2020-10-13",21
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-MISB-403","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=874469","Director, Animal Industry Division","2016-01-11","2016-01-25",24
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-PB-375-1","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=880530","Director, Industry Development Division","2016-01-19","2016-01-21",24
"Agriculture and Agri-Food Canada","Bilingual - imperative","Manitoba, Southern Manitoba","Multiple Positions","External Process","EX01","Post-secondary","18-AGR-MBSK-EA-PB-21","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1145713","Directors","2018-03-28","2018-04-11",25
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-MISB-79","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1016068","Director, Horticulture and Cross Sectorial Division","2017-03-08","2017-03-22",27
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-PB-276","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=843137","Director, Cost-Shared Governance and Accountability","2015-10-06","2015-10-20",28
