,Reference number,Time to staff,Type,Period,Department/agency,Unnamed: 5
0,PSC15J-015120-000016,919,Internal,2017-2018,Public Service Commission of Canada,
1,PSC15J-016357-000019,551,Internal,2017-2018,Public Service Commission of Canada,
2,PSC16J-010858-000029,739,Internal,2017-2018,Public Service Commission of Canada,
3,PSC16J-015120-000084,461,Internal,2017-2018,Public Service Commission of Canada,
4,PSC16J-010667-000005,153,Internal,2017-2018,Public Service Commission of Canada,
5,PSC16J-017902-000002,163,Internal,2017-2018,Public Service Commission of Canada,
6,PSC16J-017186-000070,203,Internal,2017-2018,Public Service Commission of Canada,
7,PSC16J-010667-000007,178,Internal,2017-2018,Public Service Commission of Canada,
8,PSC16J-017186-000077,280,Internal,2017-2018,Public Service Commission of Canada,
9,PSC16J-017826-000030,167,Internal,2017-2018,Public Service Commission of Canada,
10,PSC16J-017826-000036,74,Internal,2017-2018,Public Service Commission of Canada,
11,PSC17J-017826-000042,139,Internal,2017-2018,Public Service Commission of Canada,
12,PSC17J-011776-000049,116,Internal,2017-2018,Public Service Commission of Canada,
13,PSC17J-011776-000050,132,Internal,2017-2018,Public Service Commission of Canada,
14,PSC17J-015120-000164,140,Internal,2017-2018,Public Service Commission of Canada,
15,PSC17J-017826-000069,62,Internal,2017-2018,Public Service Commission of Canada,
16,PSC17J-018191-000007,231,Internal,2017-2018,Public Service Commission of Canada,
17,PSC17J-017826-000128,206,Internal,2017-2018,Public Service Commission of Canada,
18,PSC17J-016212-000011,141,Internal,2017-2018,Public Service Commission of Canada,
19,PSC17J-011776-000053,148,Internal,2017-2018,Public Service Commission of Canada,
20,PSC17J-017826-000162,173,Internal,2017-2018,Public Service Commission of Canada,
21,PSC17J-018191-000022,131,Internal,2017-2018,Public Service Commission of Canada,
22,PSC17J-016212-000013,127,Internal,2017-2018,Public Service Commission of Canada,
23,PSC17J-019156-000009,85,Internal,2017-2018,Public Service Commission of Canada,
24,PSC17J-016212-000015,51,Internal,2017-2018,Public Service Commission of Canada,
0,PSC17J-018191-000009,307,Internal,2018-2019,Public Service Commission of Canada,
1,PSC17J-019026-000002,551,Internal,2018-2019,Public Service Commission of Canada,
2,PSC17J-011776-000058,118,Internal,2018-2019,Public Service Commission of Canada,
3,PSC17J-017826-000202,134,Internal,2018-2019,Public Service Commission of Canada,
4,PSC18J-018914-000005,71,Internal,2018-2019,Public Service Commission of Canada,
5,PSC18J-018914-000009,65,Internal,2018-2019,Public Service Commission of Canada,
6,PSC18J-018914-000011,98,Internal,2018-2019,Public Service Commission of Canada,
7,PSC18J-018914-000016,94,Internal,2018-2019,Public Service Commission of Canada,
8,PSC18J-016212-000019,60,Internal,2018-2019,Public Service Commission of Canada,
9,PSC18J-019027-000058,110,Internal,2018-2019,Public Service Commission of Canada,
10,PSC18J-019027-000067,56,Internal,2018-2019,Public Service Commission of Canada,
11,PSC18J-019026-000074,169,Internal,2018-2019,Public Service Commission of Canada,
12,PSC18J-016212-000020,104,Internal,2018-2019,Public Service Commission of Canada,
13,PSC18J-019156-000054,249,Internal,2018-2019,Public Service Commission of Canada,
14,PSC18J-017902-000043,193,Internal,2018-2019,Public Service Commission of Canada,
15,PSC18J-019026-000103,93,Internal,2018-2019,Public Service Commission of Canada,
16,PSC18J-016212-000023,104,Internal,2018-2019,Public Service Commission of Canada,
17,PSC18J-016212-000024,121,Internal,2018-2019,Public Service Commission of Canada,
18,PSC18J-020222-000005,104,Internal,2018-2019,Public Service Commission of Canada,
19,PSC18J-019026-000117,121,Internal,2018-2019,Public Service Commission of Canada,
20,PSC18J-019026-000120,154,Internal,2018-2019,Public Service Commission of Canada,
21,PSC18J-016212-000026,120,Internal,2018-2019,Public Service Commission of Canada,
22,PSC18J-016212-000029,124,Internal,2018-2019,Public Service Commission of Canada,
23,PSC18J-020404-000014,132,Internal,2018-2019,Public Service Commission of Canada,
24,PSC18J-016212-000030,61,Internal,2018-2019,Public Service Commission of Canada,
25,PSC18J-018112-000098,104,Internal,2018-2019,Public Service Commission of Canada,
26,PSC18J-020250-000043,48,Internal,2018-2019,Public Service Commission of Canada,
0,PSC18J-016212-000027,182,Internal,2019-2020,Public Service Commission of Canada,
1,PSC18J-019026-000142,103,Internal,2019-2020,Public Service Commission of Canada,
2,PSC18J-018914-000021,210,Internal,2019-2020,Public Service Commission of Canada,
3,PSC18J-020404-000041,108,Internal,2019-2020,Public Service Commission of Canada,
4,PSC18J-019026-000168,124,Internal,2019-2020,Public Service Commission of Canada,
5,PSC19J-019026-000173,196,Internal,2019-2020,Public Service Commission of Canada,
6,PSC19J-020250-000047,109,Internal,2019-2020,Public Service Commission of Canada,
7,PSC19J-020250-000048,64,Internal,2019-2020,Public Service Commission of Canada,
8,PSC19J-020866-000004,71,Internal,2019-2020,Public Service Commission of Canada,
9,PSC19J-020223-000073,68,Internal,2019-2020,Public Service Commission of Canada,
10,PSC19J-020222-000033,76,Internal,2019-2020,Public Service Commission of Canada,
11,PSC19J-020653-000023,188,Internal,2019-2020,Public Service Commission of Canada,
12,PSC19J-020250-000058,70,Internal,2019-2020,Public Service Commission of Canada,
13,PSC19J-020653-000029,175,Internal,2019-2020,Public Service Commission of Canada,
14,PSC19J-020223-000084,91,Internal,2019-2020,Public Service Commission of Canada,
15,PSC19J-016212-000038,179,Internal,2019-2020,Public Service Commission of Canada,
16,PSC19J-020866-000050,88,Internal,2019-2020,Public Service Commission of Canada,
17,PSC19J-016212-000039,76,Internal,2019-2020,Public Service Commission of Canada,
18,PSC19J-020555-000076,166,Internal,2019-2020,Public Service Commission of Canada,
19,PSC19J-020222-000042,82,Internal,2019-2020,Public Service Commission of Canada,
20,PSC19J-020555-000079,138,Internal,2019-2020,Public Service Commission of Canada,
21,PSC19J-020223-000119,102,Internal,2019-2020,Public Service Commission of Canada,
22,PSC19J-020555-000091,136,Internal,2019-2020,Public Service Commission of Canada,
23,PSC19J-020222-000056,55,Internal,2019-2020,Public Service Commission of Canada,
24,PSC19J-016212-000041,107,Internal,2019-2020,Public Service Commission of Canada,
25,PSC19J-016212-000042,47,Internal,2019-2020,Public Service Commission of Canada,
26,PSC19J-021438-000020,153,Internal,2019-2020,Public Service Commission of Canada,
27,PSC19J-016212-000043,85,Internal,2019-2020,Public Service Commission of Canada,
28,PSC19J-020223-000133,103,Internal,2019-2020,Public Service Commission of Canada,
29,PSC19J-020223-000136,127,Internal,2019-2020,Public Service Commission of Canada,
30,PSC19J-020223-000151,107,Internal,2019-2020,Public Service Commission of Canada,
31,PSC20J-022030-000048,55,Internal,2019-2020,Public Service Commission of Canada,
0,PSC18J-016212-000028,669,Internal,2020-2021,Public Service Commission of Canada,
1,PSC18J-019156-000068,477,Internal,2020-2021,Public Service Commission of Canada,
2,PSC19J-020223-000120,159,Internal,2020-2021,Public Service Commission of Canada,
3,PSC19J-020653-000061,162,Internal,2020-2021,Public Service Commission of Canada,
4,PSC19J-020222-000072,173,Internal,2020-2021,Public Service Commission of Canada,
5,PSC19J-022029-000004,337,Internal,2020-2021,Public Service Commission of Canada,
6,PSC19J-019002-000002,144,Internal,2020-2021,Public Service Commission of Canada,
7,PSC19J-016212-000047,319,Internal,2020-2021,Public Service Commission of Canada,
8,PSC19J-016212-000049,162,Internal,2020-2021,Public Service Commission of Canada,
9,PSC19J-020223-000154,278,Internal,2020-2021,Public Service Commission of Canada,
10,PSC19J-016212-000051,209,Internal,2020-2021,Public Service Commission of Canada,
11,PSC20J-022114-000057,277,Internal,2020-2021,Public Service Commission of Canada,
12,PSC20J-016212-000052,194,Internal,2020-2021,Public Service Commission of Canada,
13,PSC20J-016212-000053,320,Internal,2020-2021,Public Service Commission of Canada,
14,PSC20J-022030-000049,253,Internal,2020-2021,Public Service Commission of Canada,
15,PSC20J-019249-000002,55,Internal,2020-2021,Public Service Commission of Canada,
16,PSC20J-022029-000027,146,Internal,2020-2021,Public Service Commission of Canada,
17,PSC20J-022433-000004,143,Internal,2020-2021,Public Service Commission of Canada,
