Reference number,Time to staff,Type,Period,Department/agency,
PSC20J-022783-000015,581,Internal,2021-2022,Fake,
PSC20J-022783-000015,581,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-019026-000329,315,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-024070-000002,231,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-016212-000056,222,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-016212-000058,193,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-016212-000059,259,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-022521-000066,140,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-019026-000373,160,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-022521-000068,152,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-023426-000033,128,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-020653-000140,101,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-020653-000143,159,Internal,2022-2023,Public Service Commission of Canada,
PSC21J-025392-000013,195,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-023426-000040,315,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-023869-000045,146,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-022315-000023,215,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-024070-000048,156,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-016212-000066,237,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-024070-000053,208,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-016212-000068,84,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-022315-000033,60,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-055996-000004,177,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-022521-000084,168,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-055996-000007,139,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-025392-000031,77,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-047495-000008,120,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-024072-000208,168,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-016212-000073,96,Internal,2022-2023,Public Service Commission of Canada,
PSC22J-024072-000232,84,Internal,2022-2023,Public Service Commission of Canada,
